"no","stem","choice_1","choice_2","choice_3","choice_4","answer_index"
"12","관리감독자의 의무가 아닌 것은?","작업 중지 명령 및 재개 지시","작업자의 안전보건 교육 실시 및 확인","근로자의 근태기록 관리","보호구 착용 및 사용 상태 점검","3"
"13","산업안전보건법상 관리감독자 교육 대상자는?","현장근로자 중 선임된 반장","일용직 근로자","현장작업자의 직계가족","협력업체 외주 계약직","1"
"14","산업안전보건법에 따른 작업중지 명령이 가능한 상황은?","점심시간에 무단이탈","기계 고장으로 생산이 늦어질 경우","긴급하게 생명을 위협하는 급박한 위험 발생 시","작업자 간에 말다툼이 발생한 경우","3"
"15","관리감독자 교육은 언제 이수해야 하는가?","채용 후 3개월 이내","선임된 후 1개월 이내","다음 해부터","산업재해가 발생한 후","2"
"16","작업 중 화학물질에 노출될 경우 착용해야 하는 보호구는?","방독면","안전모","안전화","귀마개","1"
"17","산업안전보건법상 근로자의 의무로 옳지 않은 것은?","보호구 착용","안전수칙 준수","작업환경 개선 요구","사고 발생 시 보고","3"
"18","작동 중인 프레스 기계의 이물질을 맨손으로 제거하려고 할 때, 관리감독자가 해야 할 조치는?","작업자의 숙련도를 믿고 그냥 둔다","빠르게 처리하도록 독려한다","전원을 차단한 후 제거하게 한다","기계 작동 속도를 낮춘다","3"
"19","근골격계 질환 예방을 위한 올바른 작업 방법은?","무거운 자재는 혼자서 신속히 처리한다","반복작업은 가능한 한 오래 지속한다","높낮이 조절 작업대 및 작업 보조도구를 활용한다","무릎을 굽혀 오랫동안 바닥에서 작업한다","3"
"20","화학물질 사용 전 반드시 확인해야 할 자료는?","물질의 냄새","근무자의 연령","물질안전보건자료 (MSDS)","생산량","3"
"21","전기 감전사고 예방을 위한 관리감독자의 적절한 행동은?","근로자가 장갑만 착용하면 문제없다","젖은 손으로 작업하지 않도록 지도한다","배선이 헐거워도 방치한다","콘센트 근처에 물건을 적치하게 한다","2"
"27","다음 중 작업자가 기계 작업 중 접촉할 경우 신체에 위해를 입힐 수 있는 ‘위험점’에 해당하지 않는 것은?","회전하는 기계의 축","물체를 눌러 가공하는 프레스의 하강부","컨베이어 벨트의 롤러 접합 부위","사무실 책상 모서리","2"
"28","다음 중 ‘협착점’에 해당하는 예로 가장 적절한 것은?","작업 중 벽면에 부딪혀 생긴 멍","회전하는 기계축에 옷이 감긴 경우","벨트와 풀리 사이에 손이 끼인 경우","칼날에 손이 베인 경우","2"
"29","다음 중 ‘회전점’(접촉 시 감김 위험이 있는 부위)의 예로 가장 적절한 것은?","유압프레스의 작동 위치","벨트가 왕복운동하는 평행 이송기","노출된 동력전달축이 빠르게 회전하는 상황","작업자가 계단에서 미끄러지는 상황","2"
"31","손이 끼일 위험이 있는 ‘협착점’을 선택하시오.","컨베이어 벨트와 롤러 사이","프레스 기계 상부 안전가드","회전축 보호 덮개 안쪽","작업대 위 사무용품","1"
"32","산업안전보건법상 사업주는 근로자의 안전과 건강을 위해 무엇을 제공해야 하는가?","안전보호구","휴게시간","산업재해보험","직무교육","3"
"33","근로자가 작업 중 보호구를 착용해야 하는 상황으로 가장 적절한 것은?","화학물질을 취급할 때, 법령과 작업지침에서 요구되는 경우","점심시간과 개인 휴식 시간에만","숙련 근로자가 기계 작업 시 혼자 조작할 때는 생략 가능","야근 시 근무 시간 연장 때문에 착용하지 않아도 된다","1"
"34","위험성평가의 목적은 무엇인가?","사고 예방","재해율 감소","생산성 향상","법적 요구사항 충족","3"
"35","기계에 설치된 안전장치의 역할로 적절한 것은?","작업 속도 증가","근로자 보호","재료 비용 절감","생산성 감소","1"
"36","MSDS(Material Safety Data Sheet)는 무엇을 안내하는 문서인가?","화학물질의 안전 사용과 응급조치","근로자 근무시간","기계 수리 방법","생산량 기록","1"
"37","직무스트레스가 과도할 경우 나타날 수 있는 결과는?","산업재해 발생 가능성 증가","작업속도 향상","법적 책임 감소","보호구 불필요","2"
"38","산업재해 발생 시 사업주의 의무가 아닌 것은?","즉시 보고","재발 방지 조치","피해 근로자 퇴직 처리","사고 기록 보관","2"
"39","작업환경 측정의 목적은 무엇인가?","근로자 건강보호 및 환경 개선","작업속도 향상","기계 고장 예방","생산 계획 수립","2"
"40","근로자에게 작업환경에 맞는 보호구를 적절히 제공하지 않아 산업재해가 발생한 경우, 사업주는 어떤 책임을 질 수 있는가?","법적 책임 (형사처벌 포함) 및 과태료 부과","생산성과 관계없이 책임 없음","근로자 개인에게 보호구 구입 부담 전가","작업 중지 명령이 자동으로 면제됨","1"
"41","안전보건관리자가 산업안전보건법에 따라 수행해야 하는 업무가 아닌 것은?","위험성평가 실시","보호구 지급 확인","법령 위반 근로자 처벌","안전교육 실시","1"
"42","사업주는 위험성평가를 실시할 때 누구와 함께 해야 하는가?","근로자 대표","고객","협력업체","정부 공무원","1"
"43","근로자가 위험 작업을 수행할 때, 관리감독자가 보호구 착용을 반드시 확인해야 하는 이유로 가장 적절한 것은?","근로자의 안전보호 및 법적 의무 준수","작업 속도를 높이기 위해","생산량 증가를 위해","작업 후 청소 시간을 단축하기 위해","1"
"44","기계 안전장치가 제대로 작동하지 않으면 발생할 수 있는 사고는?","절단 ·끼임 등의 신체 상해","생산량 증가","근로자 근무시간 단축","품질 향상","1"
"45","MSDS에 반드시 포함되어야 하는 정보는?","화학물질 성분, 유해성, 응급조치 방법","근로자 급여","기계 사용법","안전교육 일정","1"
"46","한 작업반에서 반복적 ·고강도 업무로 근로자들이 잦은 피로와 불만을 호소하고 있다. 관리감독자가 즉시 우선적으로 수행해야 할 조치로 가장 적절한 것은?","작업 순서와 업무량을 조정하고, 휴식시간 제공 및 근로자 의견 수렴","작업 속도 향상과 근로시간 연장으로 목표 달성","보호구 점검만 실시하고, 작업환경 문제는 별도 조치","작업환경 오염을 방치하고 생산 목표를 우선","1"
"47","산업재해 발생 시 근로자가 취할 수 있는 권리로 적절한 것은?","치료 및 요양","즉시 퇴직","보너스 지급 요구","작업시간 단축","2"
"48","작업환경 측정 항목에 포함되지 않는 것은?","소음, 진동, 유해물질 농도","기계 고장 횟수","온도, 습도","환기 상태","1"
"49","안전보건교육에서 다루어야 하는 내용으로 적절한 것은?","보호구 사용법과 위험예방","근무 평가 방법","급여 계산 방법","생산 목표","3"
"50","위험성평가 결과에 따라 수행하는 조치가 아닌 것은?","위험요인 제거 또는 감소","근로자 교육","사고 은폐","안전장치 설치","1"
"51","사업장이 산업안전보건법을 위반했을 때 받을 수 있는 조치로 맞는 것은?","과태료, 시정명령, 형사처벌","근로자 보너스 지급","생산량 증가","휴게시간 단축","1"
"52","작업장에서 보호구를 제대로 착용하지 않으면 가장 먼저 발생할 수 있는 문제는?","신체 상해","생산량 증가","작업속도 향상","휴게시간 단축","2"
"53","기계 주변에서 작업할 때 안전수칙 중 올바른 것은?","안전장치를 제거하고 작업한다","장갑이나 보호구를 착용하고 작업한다","기계 전원을 무시하고 즉시 작동한다","안전교육을 받은 근로자는 규칙을 지킬 필요 없다","1"
"54","다음 중 크레인에 설치되는 방호장치에 해당하지 않는 것은 무엇인가?","냉방용 에어컨","하강 속도 제한 장치","운전실 안전문","과부하 방지장치","1"
"55","작업환경 측정에서 확인하는 항목으로 올바른 것은?","소음, 온도, 유해물질 농도","근로자 나이","생산 계획","휴게시간","3"
"56","위험성평가 후 개선 조치에 해당하지 않는 것은?","위험요인 제거","보호장치 설치","사고 은폐","근로자 교육","1"
"57","직무스트레스가 심한 근로자에게 필요한 조치는?","충분한 휴식과 작업환경 개선","작업시간 연장","보호구 미지급","생산 목표 상향","1"
"58","산업재해가 발생했을 때, 근로자가 먼저 해야 하는 일은?","즉시 상급자에게 사고를 보고하고 필요한 응급조치를 받는다","생산을 계속 진행하여 작업 지연을 최소화한다","기계 상태를 점검하고 이상이 없으면 작업을 재개한다","보호구를 반납하고 다른 작업으로 이동한다","1"
"59","보호구를 선택할 때 가장 중요한 기준은?","작업환경과 위험에 맞는지","색상과 디자인","생산량 증가 여부","개인 취향","1"
"60","기계 안전장치를 점검할 때 올바른 방법은?","정기적으로 기능을 확인하고 고장 시 수리","매번 제거하고 작업","근로자 대표가 아닌 사람에게만 점검","생산량 우선으로 점검","1"
"61","MSDS에 있는 응급조치 방법을 무시하면 발생할 수 있는 일은?","사고 확률과 피해 증가","작업속도 향상","생산량 증가","근로자 급여 인상","1"
"62","크레인 작업 시 안전을 위해 설치해야 하는 장치로 옳은 것은?","과부하 방지장치","속도 증가 장치","생산량 표시 장치","조명 밝기 조절기","1"
"63","관리감독자가 강조해야 할 지게차 운전 시 가장 중요한 안전 수칙으로 가장 적절한 것은?","운전자는 안전벨트를 착용하고, 주변 근로자 위치를 확인한다","짐을 들 때 최대 속도로 이동하여 작업 시간을 단축한다","방호장치를 제거하고 운전하여 작업 편의성을 높인다","지게차 운전 경험이 없는 근로자도 가벼운 짐은 운전 가능하다","1"
"64","롤러기에서 작업 중 손가락 끼임 사고를 예방하는 방법은?","안전가드 설치 여부를 확인하고, 작업 속도와 작업 순서를 조정하며, 근로자에게 안전교육과 올바른 작업 방법을 안내한다","작업 속도를 우선 확보하고, 숙련자만 직접 롤러를 점검하도록 한다","가드 설치 여부는 확인하지 않고, 경험 많은 근로자가 판단하여 작업하도록 한다","근로자가 스스로 사고 예방을 고려하도록 맡긴다","1"
"65","프레스 기계에서 방호장치의 역할로 가장 적절한 것은?","근로자 손 끼임 사고 예방","생산 속도 향상","원료 낭비 감소","전기 요금 절약","1"
"66","리프트 운행 시 반드시 점검해야 하는 안전장치는?","비상정지 버튼과 안전문","운행 기록기만","무게 측정기만","작업자 개인 취향에 따른 장치","1"
"67","다음 중 지게차 안전장치로 해당하지 않는 것은 무엇인가?","안전벨트","경광등 및 경적","지게차 포크 안전덮개","작업용 전동드릴","4"
"68","다음 중 프레스 기계에서 방호장치가 아닌 것은 무엇인가?","누름판 보호가드","발동 스위치 안전 커버","급정지 버튼","작업 속도 표시계","4"
"69","롤러기에 설치되는 방호장치가 아닌 것은 무엇인가?","손이 닿지 않도록 하는 안전가드","급정지 버튼","작업용 보호장갑","롤러 속도 조절 장치","3"
"70","리프트 운행 시 설치되는 방호장치에 해당하지 않는 것은 무엇인가? ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ─ ■ 관리감독자 문제지 정답표 (1~70번) | 1 | ③ | 2 | ③ | | 3 | ① | 4 | ③ | | 5 | ③ | 6 | ③ | | 7 | ② | 8 | ③ | | 9 | ④ | 10 | ③ | | 11 | ④ | 12 | ③ | | 13 | ① | 14 | ③ | | 15 | ② | 16 | ① | | 17 | ③ | 18 | ③ | | 19 | ③ | 20 | ③ | | 21 | ② | 22 | ④ | | 23 | ③ | 24 | ③ | | 25 | ① | 26 | ① | | 27 | ② | 28 | ② | | 29 | ② | 30 | ① | | 31 | ① | 32 | ③ | | 33 | ① | 34 | ③ | | 35 | ① | 36 | ① | | 37 | ② | 38 | ② | | 39 | ② | 40 | ① | | 41 | ① | 42 | ① | | 43 | ① | 44 | ① | | 45 | ① | 46 | ① | | 47 | ② | 48 | ① | | 49 | ③ | 50 | ① | | 51 | ① | 52 | ② | | 53 | ① | 54 | ① | | 55 | ③ | 56 | ① | | 57 | ① | 58 | ① | | 59 | ① | 60 | ① | | 61 | ① | 62 | ① | | 63 | ① | 64 | ① | | 65 | ① | 66 | ① | | 67 | ④ | 68 | ④ | | 69 | ③ | 70 | ④ |","비상정지 버튼","안전문","적재 하중 감지 장치","실내 인테리어 장식용 조명","4"
